City_Name,Year,Orchard,Irrigation Farming,Pasture,Residential area,Na,Mg,Ca,SO4,Cl,Hco3,CO3,pH,EC,TDS,NO3,CaCO3,Debi
1,1385,471.8,33.32,15048.9,25.64,0.19,0.73,1.58,0.56,0.15,1.86,0,8.04,227.3,144.18,4.4,136.8,0.42
1,1389,513.01,2.45,15000.08,64.1,0.16,0.65,1.96,0.59,0.22,2.04,0.01,7.91,259.38,152.81,3.8,149.6,0.46
1,1393,478.97,70.66,14854.38,175.64,0.23,0.67,1.79,0.62,0.22,1.92,0.09,8.19,249.74,147.52,4.32,143.78,0.39
2,1385,561.6,16.9,6524.66,21.25,1.25,1.71,2.28,1.46,0.72,3.11,0.05,7.8,495.55,317.93,4,211,2.45
2,1389,1192.74,3.02,5809.56,119.1,1.67,1.68,3.35,1.97,1.16,3.63,0.01,7.85,637.88,383.97,4.6,200,1.42
2,1393,923.47,6.41,4977.71,1216.82,1.17,1.62,2.78,1.49,0.81,3.25,0.01,7.86,521.78,319.96,4.44,212.04,2.15
3,1385,574.17,157.32,8522.4,12.89,32.15,9.61,9.46,29.83,17,4.72,0.04,7.78,4679.17,3136.77,3.4,162,9.34
3,1389,463.41,0,8787.93,9266.78,45.34,15.28,9.93,35.73,27.44,6.01,0.27,7.61,6855.18,4912.89,3.6,163.2,6.41
3,1393,781.38,0,8367.46,117.94,17.88,6.63,7.73,16.37,10.16,6.22,0,7.64,3244.1,2172.5,4.44,167.28,16.16
4,1385,3439.09,163.79,39685.88,211.79,0.41,0.74,2.4,0.7,0.39,2.63,0,7.9,326.71,201.39,2.22,176.2,0.7
4,1389,2473.09,51.24,40849.7,126.53,0.33,0.63,2.45,0.69,0.27,2.54,0,7.88,321.95,191.17,4.4,172,0.81
4,1393,3728.62,153.82,37924.15,1693.96,0.4,0.61,2.34,0.74,0.34,2.37,0.03,8.07,313.4,182.17,4.78,175.06,1.36
